date_left	date_right	date_center	date_mean	num_allele	num_alt_allele	af	af_low	af_up	date_normalized	pt	pt_low	pt_up
0	0.0	0.0	0.0	12876	1001.0	0.07774153463808636	0.0731	0.0823	-0.0	0.08127291862554577	0.07644115338017728	0.08552658588279807
1	999.0	500.0	654.1325203252032	4920	404.0	0.08211382113821138	0.0745	0.0898	-8.620689655172415	0.08447204696473945	0.07912147591178464	0.08928089472144163
100	1100.0	600.0	760.9967203339296	6708	567.0	0.08452593917710197	0.0779	0.0912	-10.344827586206897	0.08512544097747551	0.07973056386639711	0.09015996911963733
200	1200.0	700.0	821.0599895670318	7668	663.0	0.08646322378716745	0.08020000000000001	0.0927	-12.068965517241379	0.08578341546055958	0.08017775315276333	0.09088554640883764
300	1300.0	800.0	924.8694491628246	8242	740.0	0.08978403300169861	0.08360000000000001	0.0959	-13.793103448275861	0.08644599518336951	0.08054192308720741	0.0916950071039168
400	1400.0	900.0	994.965183306433	8674	779.0	0.08980862347244639	0.0838	0.09580000000000001	-15.517241379310345	0.08711320493450582	0.08089928801045164	0.09251359466267975
500	1500.0	1000.0	1042.6762605496647	9242	843.0	0.09121402293875784	0.0854	0.0971	-17.24137931034483	0.08778506951973516	0.08125172930681294	0.09351602809620066
600	1600.0	1100.0	1121.9754588574963	9698	905.0	0.09331820994019385	0.0876	0.09910000000000001	-18.96551724137931	0.08846161375989889	0.08160921070259212	0.09444525657551044
700	1700.0	1200.0	1189.2496488059403	9966	944.0	0.09472205498695566	0.08900000000000001	0.1004	-20.689655172413794	0.08914286248878707	0.08203057010375409	0.09543025459735888
800	1800.0	1300.0	1272.2205910031996	10626	1034.0	0.09730848861283643	0.0917	0.1029	-22.413793103448278	0.08982884055097695	0.08240972358013929	0.09638261145482357
900	1900.0	1400.0	1361.6211040945202	9818	963.0	0.09808514972499491	0.0922	0.1039	-24.137931034482758	0.09051957279963599	0.08278243189501588	0.09728072567668053
1000	2000.0	1500.0	1419.916103726302	9178	900.0	0.09806057964698191	0.092	0.1041	-25.862068965517242	0.09121508409428984	0.0831781249879233	0.09843753852084008
1100	2100.0	1600.0	1504.4632139399807	8264	823.0	0.09958857696030977	0.0931	0.10600000000000001	-27.586206896551722	0.09191539929855368	0.08356392081374467	0.09949248657799839
1200	2200.0	1700.0	1587.199393479909	7914	786.0	0.09931766489764973	0.09280000000000001	0.10590000000000001	-29.310344827586206	0.09262054327782832	0.08395109473969735	0.10056350980507103
1300	2300.0	1800.0	1742.552222817354	7468	765.0	0.10243706480985539	0.0956	0.10930000000000001	-31.03448275862069	0.09333054089695969	0.08435740605426176	0.10171864087289202
1400	2400.0	1900.0	1859.639025804581	6898	716.0	0.10379820237750073	0.0966	0.1109	-32.758620689655174	0.09404541701786187	0.08473130026153694	0.10277727225966654
1500	2500.0	2000.0	1969.272114821324	6828	694.0	0.10164030462800235	0.0945	0.10880000000000001	-34.48275862068966	0.09476519649710394	0.08507612230868793	0.10390991685257636
1600	2600.0	2100.0	2121.1909385113267	7416	771.0	0.10396440129449838	0.0971	0.1109	-36.206896551724135	0.09548990418345966	0.08550555809765524	0.10504974235497459
1700	2700.0	2200.0	2210.0677966101694	7080	749.0	0.1057909604519774	0.09860000000000001	0.1129	-37.93103448275862	0.09621956491542043	0.08588490066635034	0.1061442505435957
1800	2800.0	2300.0	2298.499376169682	6412	671.0	0.1046475358702433	0.09720000000000001	0.1121	-39.6551724137931	0.0969542035186713	0.08604832959818726	0.10721595645428307
