date_left	date_right	date_center	date_mean	num_allele	num_alt_allele	af	af_low	af_up	date_normalized	pt	pt_up	pt_low
0	0.0	0.0	0.0	12876	10103.0	0.7846380863622243	0.7775000000000001	0.7917000000000001	-0.0	0.8210049464160659	0.8408878901814156	0.7962649201228806
1	999.0	500.0	654.1325203252032	4920	3938.0	0.8004065040650407	0.7893	0.8116	-8.620689655172415	0.823567996827149	0.8459786340252875	0.7986807912052449
100	1100.0	600.0	760.9967203339296	6708	5382.0	0.8023255813953488	0.7928000000000001	0.8118000000000001	-10.344827586206897	0.8240771324413261	0.847406003323623	0.798621439975209
200	1200.0	700.0	821.0599895670318	7668	6130.0	0.7994261867501304	0.7905000000000001	0.8084	-12.068965517241379	0.8245851117629317	0.8489547506431111	0.7986643545885297
300	1300.0	800.0	924.8694491628246	8242	6584.0	0.7988352341664644	0.7902	0.8075	-13.793103448275861	0.8250919356117354	0.8506408792846937	0.7978596758958372
400	1400.0	900.0	994.965183306433	8674	6905.0	0.7960571823841365	0.7876000000000001	0.8045	-15.517241379310345	0.8255976048179683	0.8524634677071518	0.7975319289390024
500	1500.0	1000.0	1042.6762605496647	9242	7336.0	0.7937675827742913	0.7856000000000001	0.802	-17.24137931034483	0.8261021202222583	0.8532325426558134	0.7971598402265112
600	1600.0	1100.0	1121.9754588574963	9698	7689.0	0.792843885337183	0.7848	0.8009000000000001	-18.96551724137931	0.8266054826755675	0.8542861073611288	0.7957072105214654
700	1700.0	1200.0	1189.2496488059403	9966	7885.0	0.7911900461569336	0.7832	0.7991	-20.689655172413794	0.8271076930391288	0.8562272456625061	0.794363521217765
800	1800.0	1300.0	1272.2205910031996	10626	8418.0	0.7922077922077922	0.7845000000000001	0.7999	-22.413793103448278	0.8276087521843811	0.8580549193460212	0.7939854067425682
900	1900.0	1400.0	1361.6211040945202	9818	7774.0	0.7918109594622122	0.7838	0.7998000000000001	-24.137931034482758	0.8281086609929068	0.8593386421459988	0.7930537990709108
1000	2000.0	1500.0	1419.916103726302	9178	7270.0	0.7921115711483984	0.7838	0.8004	-25.862068965517242	0.828607420356368	0.8609640458933336	0.7915423308748617
1100	2100.0	1600.0	1504.4632139399807	8264	6537.0	0.7910212971926428	0.7823	0.7998000000000001	-27.586206896551722	0.8291050311764432	0.8623158744648141	0.7899149012914162
1200	2200.0	1700.0	1587.199393479909	7914	6254.0	0.790245135203437	0.7813	0.7992	-29.310344827586206	0.8296014943647634	0.8635377144287602	0.788529913847809
1300	2300.0	1800.0	1742.552222817354	7468	5901.0	0.7901713979646492	0.781	0.7994	-31.03448275862069	0.8300968108428495	0.865114579383067	0.78743220507618
1400	2400.0	1900.0	1859.639025804581	6898	5427.0	0.7867497825456654	0.7771	0.7964	-32.758620689655174	0.830590981542048	0.8669032812938631	0.7858868676982042
1500	2500.0	2000.0	1969.272114821324	6828	5367.0	0.7860281195079086	0.7763	0.7957000000000001	-34.48275862068966	0.831084007403469	0.8686536367616577	0.7849242632904281
1600	2600.0	2100.0	2121.1909385113267	7416	5810.0	0.7834412081984897	0.7741	0.7928000000000001	-36.206896551724135	0.8315758893779218	0.8702173790412348	0.783490641550884
1700	2700.0	2200.0	2210.0677966101694	7080	5536.0	0.7819209039548023	0.7723	0.7915000000000001	-37.93103448275862	0.8320666284258523	0.871619235008728	0.7820786865996001
1800	2800.0	2300.0	2298.499376169682	6412	4996.0	0.7791640673736744	0.769	0.7893	-39.6551724137931	0.83255622551728	0.8730081441322063	0.7806653994494945
1900	2900.0	2400.0	2407.424686940966	5590	4332.0	0.7749552772808587	0.7641	0.7859	-41.37931034482759	0.8330446816317346	0.874896625131383	0.7797857419670103
2000	3000.0	2500.0	2441.2708638360177	5464	4230.0	0.7741581259150805	0.7631	0.7852	-43.10344827586207	0.8335319977581932	0.8768350053082404	0.7786177861046105
2100	3100.0	2600.0	2499.7052474879047	5374	4141.0	0.7705619650167473	0.7594000000000001	0.7818	-44.827586206896555	0.8340181748950177	0.8786281129286121	0.7775715899126987
2200	3200.0	2700.0	2548.57859922179	5140	3953.0	0.7690661478599222	0.7576	0.7806000000000001	-46.55172413793103	0.8345032140498911	0.8800680945142708	0.7758291723158948
