date_left	date_right	date_center	date_mean	num_allele	num_alt_allele	af	af_low	af_up	date_normalized	pt	pt_low	pt_up
0	0.0	0.0	0.0	12876	6572.0	0.5104069586828207	0.5018	0.519	-0.0	0.5134707495021205	0.5046291266295713	0.5231569582132242
1	999.0	500.0	654.1325203252032	4920	2553.0	0.5189024390243903	0.505	0.5329	-8.620689655172415	0.517836784900348	0.5085484091652254	0.5280228359519373
100	1100.0	600.0	760.9967203339296	6708	3503.0	0.5222122838401908	0.5103	0.5342	-10.344827586206897	0.5187096866158503	0.5090766329121105	0.5294034589855099
200	1200.0	700.0	821.0599895670318	7668	3984.0	0.5195618153364632	0.5084000000000001	0.5307000000000001	-12.068965517241379	0.5195824741385043	0.5094302480012278	0.5304531536859984
300	1300.0	800.0	924.8694491628246	8242	4273.0	0.5184421256976462	0.5077	0.5292	-13.793103448275861	0.5204551421573321	0.509694087382026	0.5314638967524764
400	1400.0	900.0	994.965183306433	8674	4491.0	0.5177542079778649	0.5073	0.5283	-15.517241379310345	0.5213276853642705	0.5100965923557487	0.5327360479792763
500	1500.0	1000.0	1042.6762605496647	9242	4795.0	0.5188270937026618	0.5087	0.529	-17.24137931034483	0.5222000984543	0.5104112047895129	0.5338324242696895
600	1600.0	1100.0	1121.9754588574963	9698	5055.0	0.521241493091359	0.5113	0.5311	-18.96551724137931	0.5230723761255736	0.5107576786037626	0.535020920308065
700	1700.0	1200.0	1189.2496488059403	9966	5182.0	0.519967890828818	0.5102	0.5298	-20.689655172413794	0.5239445130795451	0.5110864048311805	0.5363366766821835
800	1800.0	1300.0	1272.2205910031996	10626	5535.0	0.5208921513269339	0.5114000000000001	0.5303	-22.413793103448278	0.5248165040210977	0.5115811453197792	0.5375966258143241
900	1900.0	1400.0	1361.6211040945202	9818	5094.0	0.5188429415359543	0.509	0.5287000000000001	-24.137931034482758	0.5256883436586717	0.511925507502585	0.538895235571353
1000	2000.0	1500.0	1419.916103726302	9178	4763.0	0.5189583787317499	0.5088	0.5292	-25.862068965517242	0.5265600267043932	0.5120807367751155	0.5402030474551661
1100	2100.0	1600.0	1504.4632139399807	8264	4251.0	0.5143998063891578	0.5036	0.5251	-27.586206896551722	0.5274315478742009	0.512239383253727	0.5414660863279664
1200	2200.0	1700.0	1587.199393479909	7914	4117.0	0.5202173363659338	0.5092	0.5312	-29.310344827586206	0.5283029018879748	0.5126473031799399	0.5430643766234277
1300	2300.0	1800.0	1742.552222817354	7468	3899.0	0.522094268880557	0.5108	0.5334	-31.03448275862069	0.5291740834696628	0.5130632874409234	0.5445780365937586
1400	2400.0	1900.0	1859.639025804581	6898	3583.0	0.5194259205566831	0.5077	0.5312	-32.758620689655174	0.530045087347408	0.5133951154300208	0.5461211228167637
1500	2500.0	2000.0	1969.272114821324	6828	3576.0	0.523725834797891	0.5119	0.5355	-34.48275862068966	0.530915908253676	0.5137307456497401	0.5476422817304238
1600	2600.0	2100.0	2121.1909385113267	7416	3851.0	0.5192826321467098	0.5079	0.5306000000000001	-36.206896551724135	0.5317865409253811	0.5140663633930648	0.5490717898714749
1700	2700.0	2200.0	2210.0677966101694	7080	3702.0	0.5228813559322034	0.5113	0.5345	-37.93103448275862	0.5326569801040136	0.5143941653516473	0.550446094266322
1800	2800.0	2300.0	2298.499376169682	6412	3352.0	0.5227698066126014	0.5106	0.535	-39.6551724137931	0.5335272205357653	0.5147207917646662	0.5518857618598694
1900	2900.0	2400.0	2407.424686940966	5590	2949.0	0.5275491949910555	0.5145000000000001	0.5406000000000001	-41.37931034482759	0.5343972569716556	0.5150474055203595	0.5533255818086933
2000	3000.0	2500.0	2441.2708638360177	5464	2887.0	0.5283674963396779	0.5152	0.5416000000000001	-43.10344827586207	0.5352670841676579	0.5153740063358757	0.55470829153047
2100	3100.0	2600.0	2499.7052474879047	5374	2838.0	0.5280982508373651	0.5148	0.5414	-44.827586206896555	0.5361366968848247	0.515700593928408	0.5561100908497271
2200	3200.0	2700.0	2548.57859922179	5140	2712.0	0.5276264591439689	0.514	0.5412	-46.55172413793103	0.5370060898894126	0.5158493208031348	0.5575126483634905
2300	3300.0	2800.0	2654.481890459364	4528	2400.0	0.5300353356890459	0.5155000000000001	0.5445	-48.275862068965516	0.5378752579530077	0.515891110505266	0.5589540649531339
2400	3400.0	2900.0	2726.1496861419605	4142	2215.0	0.5347658136166104	0.5196000000000001	0.5499	-50.0	0.5387441958526507	0.5159328998130274	0.5603142904391022
2500	3500.0	3000.0	2824.89564281872	3718	2004.0	0.5389994620763852	0.523	0.555	-51.724137931034484	0.5396128983709598	0.5160698785216303	0.5617147341928085
2600	3600.0	3100.0	3004.145506419401	2804	1527.0	0.5445791726105563	0.5262	0.5630000000000001	-53.44827586206897	0.5404813602962572	0.5165708970392578	0.5631134950340363
2700	3700.0	3200.0	3198.5716878402905	2204	1209.0	0.5485480943738656	0.5278	0.5693	-55.172413793103445	0.5413495764226907	0.517072669678781	0.5645865631483887
2800	3800.0	3300.0	3326.886200716846	2232	1230.0	0.5510752688172043	0.5305	0.5717	-56.89655172413793	0.5422175415503585	0.5175744076936636	0.566214816151293
2900	3900.0	3400.0	3451.770850884583	2374	1300.0	0.5475989890480202	0.5276000000000001	0.5676	-58.62068965517241	0.5430852504854323	0.5180761100612867	0.5676733818988235
3000	4000.0	3500.0	3550.8423457730387	2626	1432.0	0.5453160700685453	0.5263	0.5643	-60.3448275862069	0.5439526980402806	0.5185777757593235	0.5691069949180979
3100	4100.0	3600.0	3626.198198198198	2664	1448.0	0.5435435435435435	0.5246000000000001	0.5624	-62.06896551724138	0.5448198790335897	0.5189912340751712	0.5705365767107415
3200	4200.0	3700.0	3714.056402439024	2624	1450.0	0.5525914634146342	0.5336000000000001	0.5716	-63.793103448275865	0.5456867882904886	0.5193204229956258	0.5719631587098878
