phecode	disease	disease_category	icd9_codes	icd10_codes	h2_overall_REML
BI_160	Deficiency anemias	Blood/Immune	280;280.0;280.1;280.8;280.9;281;281.0;281.1;281.2;281.3;281.4;281.8;281.9	D50;D50.0;D50.1;D50.8;D50.9;D51;D51.0;D51.1;D51.2;D51.3;D51.8;D51.9;D52;D52.0;D52.1;D52.8;D52.9;D53;D53.0;D53.1;D53.2;D53.8;D53.9	0.5425
BI_160.1	Iron deficiency anemia	Blood/Immune	280;280.0;280.1;280.8;280.9	D50;D50.0;D50.1;D50.8;D50.9	0.5011
BI_160.11	Iron deficiency anemia secondary to blood loss	Blood/Immune	280.0	D50.0	0.5011
BI_160.2	Megaloblastic anemia	Blood/Immune	281.0;281.1;281.2;281.3	D51;D51.0;D51.1;D51.2;D51.3;D51.8;D51.9;D52;D52.0;D52.1;D52.8;D52.9;D53.1	1.8703
BI_160.21	Vitamin B12 deficiency anemia due to intrinsic factor deficiency [Pernicious anemia]	Blood/Immune	281.0;281.1	D51.0	1.8677
BI_160.22	Folate-deficiency anemia	Blood/Immune	281.2	D52;D52.0;D52.1;D52.8;D52.9	1.8771
BI_160.3	Protein-deficiency anemia	Blood/Immune	281.4	D53.0	1.6205
BI_162.8	Pancytopenia	Blood/Immune	284.1;284.11;284.12;284.19	D61.81;D61.810;D61.811;D61.818	""
BI_162.81	Drug-induced pancytopenia	Blood/Immune	284.11;284.12	D61.810;D61.811	""
BI_164	Anemia	Blood/Immune	280;280.0;280.1;280.8;280.9;281;281.0;281.1;281.2;281.3;281.4;281.8;281.9;283;283.0;283.1;283.10;283.19;283.9;284;284.0;284.09;284.2;284.8;284.81;284.89;284.9;285;285.0;285.1;285.2;285.21;285.22;285.29;285.3;285.8;285.9;648.2;648.20;648.21;648.22;648.23;648.24;773.5;776.5;776.6	D50;D50.0;D50.8;D50.9;D51;D51.0;D51.1;D51.3;D51.8;D51.9;D52;D52.0;D52.1;D52.8;D52.9;D53;D53.0;D53.1;D53.2;D53.8;D53.9;D55;D55.0;D55.1;D55.2;D55.21;D55.29;D55.3;D55.8;D55.9;D59;D59.0;D59.1;D59.10;D59.11;D59.12;D59.13;D59.19;D59.2;D59.4;D59.8;D59.9;D61;D61.0;D61.09;D61.1;D61.2;D61.3;D61.8;D61.82;D61.89;D61.9;D62;D63;D63.0;D63.1;D63.8;D64;D64.0;D64.1;D64.2;D64.3;D64.4;D64.8;D64.81;D64.89;D64.9;O90.81;O99.0;O99.01;O99.011;O99.012;O99.013;O99.019;O99.02;O99.03;P61.2;P61.3;P61.4	0.3002
BI_164.1	Microcytic anemia	Blood/Immune	280;280.0;280.1;280.8;280.9	D50;D50.0;D50.8;D50.9	0.5011
BI_164.2	Macrocytic anemia	Blood/Immune	281.0;281.1;281.2;281.3;281.4;281.8;281.9	D51;D51.0;D51.1;D51.3;D51.8;D51.9;D52;D52.0;D52.1;D52.8;D52.9;D53;D53.0;D53.1;D53.2;D53.8;D53.9	1.8703
BI_164.3	Acute posthemorrhagic anemia	Blood/Immune	285.1	D62	0.3241
BI_164.6	Anemia secondary to chronic diseases and conditions	Blood/Immune	285.2;285.21;285.22;285.29;285.3	D63;D63.0;D63.1;D63.8;D64.81;O90.81;O99.0;O99.01;O99.011;O99.012;O99.013;O99.019;O99.02;O99.03	0.3266
BI_164.7	Myelophthisis	Blood/Immune	284.2	D61.82	""
BI_164.8	Sideroblastic anemia	Blood/Immune	285.0	D64.0;D64.1;D64.2;D64.3	0.3241
BI_168	Coagulation defects, purpura and other hemorrhagic conditions	Blood/Immune	286;286.0;286.1;286.2;286.3;286.4;286.5;286.52;286.53;286.59;286.6;286.7;286.9;287;287.2;287.8;287.9;289.81;289.82;641.3;641.30;641.31;641.33;649.3;649.30;649.31;649.32;649.33;649.34;776.2;782.7;790.92	D65;D66;D67;D68;D68.0;D68.00;D68.01;D68.02;D68.020;D68.021;D68.022;D68.023;D68.029;D68.03;D68.04;D68.09;D68.1;D68.2;D68.3;D68.31;D68.311;D68.312;D68.318;D68.32;D68.4;D68.5;D68.51;D68.52;D68.59;D68.6;D68.61;D68.62;D68.69;D68.8;D68.9;D69;D69.2;D69.8;D69.9;O45.0;O45.00;O45.001;O45.002;O45.003;O45.009;O45.01;O45.011;O45.012;O45.013;O45.019;O45.02;O45.021;O45.022;O45.023;O45.029;O45.09;O45.091;O45.092;O45.093;O45.099;O46.02;O46.021;O46.022;O46.023;O46.029;O72.3;P60;R23.3;R79.1	1.0506
