dataset	consensus	consensus_label	phy_group	group_label	filename	reason	detail
CDS	NA	NA	0	Direct	group0_PINX1_ENSG00000254093.9_ENST00000314787.8_chr8_cds_start10765404_cds_end10839756_inv_start7301024_inv_end12598379.phy	CDS_DUP_GENE_INV_GROUP	Duplicate key (gene=PINX1, inv=8:7301024-12598379, group=Direct); kept group0_PINX1_ENSG00000258724.1_ENST00000554914.1_chr8_cds_start10725741_cds_end10839756_inv_start7301024_inv_end12598379.phy
CDS	NA	NA	1	Inverted	group1_PINX1_ENSG00000254093.9_ENST00000314787.8_chr8_cds_start10765404_cds_end10839756_inv_start7301024_inv_end12598379.phy	CDS_DUP_GENE_INV_GROUP	Duplicate key (gene=PINX1, inv=8:7301024-12598379, group=Inverted); kept group1_PINX1_ENSG00000258724.1_ENST00000554914.1_chr8_cds_start10725741_cds_end10839756_inv_start7301024_inv_end12598379.phy
CDS	NA	NA	NA	NA	group0_ACP6_ENSG00000162836.12_ENST00000583509.7_chr1_cds_start147647426_cds_end147670048_inv_start146298109_inv_end148672872.phy	CDS_CONSENSUS_NA	File header inversion (1:146298109-148672872) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_ADM5_ENSG00000224420.4_ENST00000420022.4_chr19_cds_start49689838_cds_end49690490_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_AKT1S1_ENSG00000204673.11_ENST00000344175.10_chr19_cds_start49869920_cds_end49873295_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_ALDH16A1_ENSG00000161618.10_ENST00000293350.9_chr19_cds_start49453332_cds_end49470464_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_ANKRD34A_ENSG00000272031.3_ENST00000606888.3_chr1_cds_start145960272_cds_end145961759_inv_start145160434_inv_end146154520.phy	CDS_CONSENSUS_NA	File header inversion (1:145160434-146154520) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_ANKRD35_ENSG00000198483.13_ENST00000355594.9_chr1_cds_start145867333_cds_end145885758_inv_start145160434_inv_end146154520.phy	CDS_CONSENSUS_NA	File header inversion (1:145160434-146154520) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_AP2A1_ENSG00000196961.13_ENST00000354293.10_chr19_cds_start49767134_cds_end49806755_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_ATF5_ENSG00000169136.13_ENST00000423777.7_chr19_cds_start49930851_cds_end49933089_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_BAX_ENSG00000087088.21_ENST00000345358.12_chr19_cds_start48954929_cds_end48961633_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
