region	gene	status	overall_p_value	overall_q_value	overall_lrt_stat	overall_h1_lnl	overall_h0_lnl	h1_winner_seed	h0_winner_seed	winner_p0	winner_p1	winner_p2	winner_omega0	winner_omega2_direct	winner_omega2_inverted	winner_kappa	chimp_in_pruned_run_1	chimp_in_pruned_run_2	chimp_in_region_run_1	chimp_in_region_run_2	h0_s1_def_init_kappa_run_2	h0_s1_def_init_omega_run_2	h0_s1_def_key_run_2	h0_s1_def_lnl_run_2	h0_s1_def_status_run_2	h0_s2_pur_init_kappa_run_2	h0_s2_pur_init_omega_run_2	h0_s2_pur_key_run_2	h0_s2_pur_lnl_run_2	h0_s2_pur_status_run_2	h0_s3_pos_init_kappa_run_2	h0_s3_pos_init_omega_run_2	h0_s3_pos_key_run_2	h0_s3_pos_lnl_run_2	h0_s3_pos_status_run_2	h0_s4_mix_init_kappa_run_2	h0_s4_mix_init_omega_run_2	h0_s4_mix_key_run_2	h0_s4_mix_lnl_run_2	h0_s4_mix_status_run_2	h1_s1_def_cmc_kappa_run_2	h1_s1_def_cmc_omega0_run_2	h1_s1_def_cmc_omega2_direct_run_2	h1_s1_def_cmc_omega2_inverted_run_2	h1_s1_def_cmc_p0_run_2	h1_s1_def_cmc_p1_run_2	h1_s1_def_cmc_p2_run_2	h1_s1_def_init_kappa_run_2	h1_s1_def_init_omega_run_2	h1_s1_def_key_run_2	h1_s1_def_lnl_run_2	h1_s1_def_status_run_2	h1_s2_pur_cmc_kappa_run_2	h1_s2_pur_cmc_omega0_run_2	h1_s2_pur_cmc_omega2_direct_run_2	h1_s2_pur_cmc_omega2_inverted_run_2	h1_s2_pur_cmc_p0_run_2	h1_s2_pur_cmc_p1_run_2	h1_s2_pur_cmc_p2_run_2	h1_s2_pur_init_kappa_run_2	h1_s2_pur_init_omega_run_2	h1_s2_pur_key_run_2	h1_s2_pur_lnl_run_2	h1_s2_pur_status_run_2	h1_s3_pos_cmc_kappa_run_2	h1_s3_pos_cmc_omega0_run_2	h1_s3_pos_cmc_omega2_direct_run_2	h1_s3_pos_cmc_omega2_inverted_run_2	h1_s3_pos_cmc_p0_run_2	h1_s3_pos_cmc_p1_run_2	h1_s3_pos_cmc_p2_run_2	h1_s3_pos_init_kappa_run_2	h1_s3_pos_init_omega_run_2	h1_s3_pos_key_run_2	h1_s3_pos_lnl_run_2	h1_s3_pos_status_run_2	h1_s4_mix_cmc_kappa_run_2	h1_s4_mix_cmc_omega0_run_2	h1_s4_mix_cmc_omega2_direct_run_2	h1_s4_mix_cmc_omega2_inverted_run_2	h1_s4_mix_cmc_p0_run_2	h1_s4_mix_cmc_p1_run_2	h1_s4_mix_cmc_p2_run_2	h1_s4_mix_init_kappa_run_2	h1_s4_mix_init_omega_run_2	h1_s4_mix_key_run_2	h1_s4_mix_lnl_run_2	h1_s4_mix_status_run_2	n_leaves_gene_run_1	n_leaves_gene_run_2	n_leaves_pruned_run_1	n_leaves_pruned_run_2	n_leaves_region_run_1	n_leaves_region_run_2	reason_run_1	reason_run_2	status_run_1	status_run_2	taxa_used_run_1	taxa_used_run_2
chr2_87987171_111255403	IL1RL1_ENST00000233954.6	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr10_79542901_80217413	SFTPA1_ENST00000398636.8	Usable: complete data	0.197603	1	1.66	-1304.63	-1305.46	s3_pos_run_2	s1_def_run_2	0.88464	0.10452	0.01084	0	47.5319	0.0001	2.75857	True	True	True	True	2	0.4	a91d219ba8f48abd7927f6e553a6557ed7e0c1388302804d9f57dc2f6aaba4eb	-1305.46	success	1	0.05	b3a274c437440afbdd05d187fd2a760258eb88823c7efcca5dbaafe42231e02e	-1335.49	success	3	2.5	a811a947b8cedc555ca3a8f78535004581f78df1112c7f80cdef6f5be1eb6545	-1305.72	success	5	0.8	5210ecac76dc621ea1d9c268f0eb7b8f42f339a569abe2d22e67a14207ea9527	-1305.46	success	2.10856	0	0	0.3899	0	0.09325	0.90675	2	0.4	8b3d552f10abeb72dd76005e49e54b71a19b39e66cc01749146de819b28db4e2	-1334.45	success	2.10856	0	0	0.38991	1e-05	0.09325	0.90674	1	0.05	6de9ec235009da54275a30472832542741e1e3eed3f3b514f543ede913f2bf8c	-1334.45	success	2.75857	0	47.5319	0.0001	0.88464	0.10452	0.01084	3	2.5	040f267143dc0a42618a6f450366f6f7deb09dd18f7243a6ca73c4fa09560332	-1304.63	success	2.1088	0	0	0.38989	0	0.09326	0.90674	5	0.8	0ec81548d55034af49f1dad8802dd3cf0acd206d6ed4f9763b21ceb9a9dfbd00	-1334.76	success	81	81	81	81	81	81			success	success	0AFR_ACB_HG02011_L;0AFR_ACB_HG02011_R;0AFR_ESN_HG03125_R;0AFR_GWD_HG02818_L;0AFR_YRI_NA19238_R;0AFR_LWK_NA19434_L;0AFR_LWK_NA19036_L;0AFR_YRI_NA19238_L;0AFR_LWK_NA19434_R;0AFR_GWD_HG02587_L;0AFR_MSL_HG03065_R;1AMR_MXL_NA19650_R;1EAS_KHV_HG01596_L;1SAS_ITU_HG04217_R;0AFR_LWK_NA19036_R;0AFR_MSL_HG03486_R;0AMR_CLM_HG01114_L;0AFR_YRI_NA19239_L;0AMR_PUR_HG00731_R;0SAS_GIH_NA20847_R;0AFR_ASW_NA19983_R;0AFR_ESN_HG03371_R;0AMR_PUR_HG00731_L;0AFR_ASW_NA19983_L;0AFR_YRI_NA19239_R;0AFR_MSL_HG03065_L;0AFR_GWD_HG02587_R;0EUR_FIN_HG00268_L;0EUR_GBR_HG00096_R;0AFR_GWD_HG02818_R;0AMR_CLM_HG01352_L;0EUR_TSI_NA20509_R;0AMR_CLM_HG01352_R;0AMR_PEL_HG02106_L;0EAS_CHS_HG00512_L;0SAS_ITU_HG03732_R;0EAS_CHB_NA18534_L;0EUR_CEU_NA12878_L;0SAS_ITU_HG03732_L;0EUR_GBR_HG00096_L;0EUR_IBS_HG01505_R;0AMR_MXL_NA19650_L;0AFR_ESN_HG03371_L;0SAS_STU_HG03683_R;0EAS_CDX_HG00864_L;0EAS_CHB_NA18534_R;0EAS_KHV_HG02018_R;0SAS_STU_HG03683_L;0EAS_CHS_HG00513_L;0EAS_KHV_HG02059_L;0EAS_CDX_HG00864_R;0EAS_JPT_NA18939_L;0EAS_KHV_HG01596_R;0EUR_CEU_NA12329_L;0EAS_CHS_HG00513_R;0AFR_MSL_HG03486_L;0EUR_TSI_NA20509_L;0EAS_JPT_NA18939_R;0SAS_ITU_HG04217_L;0AMR_PEL_HG01573_L;0EAS_KHV_HG02059_R;0EUR_AKJ_NA24385_R;0EAS_CHS_HG00512_R;0AFR_ESN_HG03125_L;0AMR_PUR_HG00732_R;0SAS_GIH_NA20847_L;0AMR_CLM_HG01114_R;0AMR_PEL_HG01573_R;0AMR_PUR_HG00732_L;0EUR_FIN_HG00171_R;0EUR_FIN_HG00171_L;0EUR_CEU_NA12329_R;0EUR_CEU_NA12878_R;0EUR_IBS_HG01505_L;0EUR_FIN_HG00268_R;0SAS_PJL_HG02492_L;0SAS_PJL_HG02492_R;0AMR_PEL_HG02106_R;0EAS_KHV_HG02018_L;0EUR_AKJ_NA24385_L;PanTro6	0AFR_ACB_HG02011_L;0EAS_KHV_HG02059_R;0AFR_ASW_NA19983_L;0AFR_YRI_NA19239_R;0AFR_MSL_HG03065_L;0AFR_GWD_HG02587_R;0EUR_FIN_HG00268_L;0EUR_GBR_HG00096_R;0AFR_GWD_HG02818_R;0AMR_CLM_HG01352_L;0EUR_TSI_NA20509_R;0SAS_ITU_HG03732_L;0EUR_GBR_HG00096_L;0EUR_IBS_HG01505_R;0AMR_MXL_NA19650_L;0AFR_MSL_HG03486_L;0EUR_CEU_NA12878_L;0EAS_JPT_NA18939_R;0SAS_ITU_HG04217_L;0AMR_CLM_HG01352_R;0EAS_CHB_NA18534_L;0EAS_CHS_HG00512_L;0SAS_ITU_HG03732_R;0AMR_PEL_HG02106_L;0AMR_PEL_HG01573_L;0EAS_CHS_HG00512_R;0EAS_KHV_HG02018_R;0AFR_ESN_HG03371_L;0SAS_STU_HG03683_R;0EAS_CDX_HG00864_L;0EAS_CHB_NA18534_R;0SAS_STU_HG03683_L;0EAS_CHS_HG00513_L;0EAS_KHV_HG02059_L;0EAS_CDX_HG00864_R;0EAS_JPT_NA18939_L;0EAS_CHS_HG00513_R;0AFR_ACB_HG02011_R;0AFR_ESN_HG03125_R;0AFR_GWD_HG02818_L;0AFR_YRI_NA19238_R;0AFR_ASW_NA19983_R;0AFR_ESN_HG03371_R;0AMR_PUR_HG00731_R;0SAS_GIH_NA20847_R;0AFR_LWK_NA19036_L;0AFR_YRI_NA19238_L;0AFR_LWK_NA19434_R;0AFR_LWK_NA19434_L;0EUR_AKJ_NA24385_R;0AFR_ESN_HG03125_L;0AMR_PUR_HG00732_R;0SAS_GIH_NA20847_L;0AMR_PEL_HG02106_R;0EAS_KHV_HG02018_L;0EUR_AKJ_NA24385_L;0EUR_CEU_NA12329_R;0EUR_CEU_NA12878_R;0EUR_IBS_HG01505_L;0EUR_FIN_HG00268_R;0SAS_PJL_HG02492_L;0SAS_PJL_HG02492_R;0AMR_CLM_HG01114_R;0AMR_PEL_HG01573_R;0EUR_FIN_HG00171_L;0AMR_PUR_HG00732_L;0EUR_FIN_HG00171_R;0EAS_KHV_HG01596_R;0EUR_CEU_NA12329_L;0AMR_CLM_HG01114_L;0AFR_YRI_NA19239_L;0AFR_LWK_NA19036_R;0AFR_MSL_HG03486_R;0AFR_GWD_HG02587_L;0AFR_MSL_HG03065_R;1AMR_MXL_NA19650_R;1EAS_KHV_HG01596_L;1SAS_ITU_HG04217_R;0AMR_PUR_HG00731_L;0EUR_TSI_NA20509_L;PanTro6
chr1_25324280_25369060	TMEM50A_ENST00000374358.5	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr2_87987171_111255403	INPP4A_ENST00000409851.8	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr8_7301024_12598379	FAM90A14_ENST00000648315.1	Usable: complete data	1	1	0	-2005.05	-2005.05	s1_def_run_2	s1_def_run_2	0.72091	0	0.27909	0	0	0.0001	3.38673	True	True	True	True	2	0.4	bfa3f186710d80461ef89f18eb781094845b61a8a748aa50eee666b925ea19a3	-2005.05	success	1	0.05	e8e8d11a4953c58787b699a5d938fae37dfd68e1eed3ba7649e3c4f6c75f1556	-2005.05	success	3	2.5	d82d79addf31db7c64ebafa6b5d6b65fc28d90693930440900871150985c8968	-2005.14	success	5	0.8	7b6929a1b7e9d684eb9ba31e453835894a8906b5278c3c6b2c1f21c301dece73	-2005.05	success	3.38673	0	0	0.0001	0.72091	0	0.27909	2	0.4	2be5cfbf74a4e3e0a334cc2d62b909d81743c18606506ce9a961085939c892cf	-2005.05	success	3.19419	1	0	0.0001	1	0	0	1	0.05	46364403abc96be4983b4df493011a36d843b9f28b16035bc7a664cb6a1b559e	-2005.97	success	3.38673	0	0	0.0001	0.72091	0	0.27909	3	2.5	50314b67bff178fe7198dcf7b1d8ea71a4ee8509da53086c2e0625f17cfe6906	-2005.05	success	3.38673	0	0	0.0001	0.72091	0	0.27909	5	0.8	76841f4eff2237929014f3982f4e3878ff234da4c724d982023118f4e8c84308	-2005.05	success	83	83	83	83	83	83			success	success	0AFR_ACB_HG02011_L;0AFR_MSL_HG03065_R;0AFR_ESN_HG03371_L;0AFR_GWD_HG02818_R;0AFR_GWD_HG02587_L;0AFR_ESN_HG03125_L;0AFR_MSL_HG03065_L;0AFR_LWK_NA19036_L;1AFR_ESN_HG03371_R;1AFR_ESN_HG03125_R;1AFR_YRI_NA19239_R;1AFR_LWK_NA19434_L;1AFR_ACB_HG02011_R;1AFR_YRI_NA19239_L;1AFR_GWD_HG02818_L;1AFR_ASW_NA19983_L;1AFR_LWK_NA19036_R;0AMR_CLM_HG01352_L;1SAS_ITU_HG03732_R;1SAS_ITU_HG03732_L;0EUR_GBR_HG00096_R;1EUR_CEU_NA12878_R;1EUR_FIN_HG00171_R;1AMR_CLM_HG01114_R;1AMR_PEL_HG01573_R;1EUR_AKJ_NA24385_L;1EUR_FIN_HG00268_L;1AMR_PUR_HG00732_L;1AMR_MXL_NA19650_L;1AMR_PUR_HG00731_L;1EUR_FIN_HG00268_R;1AMR_MXL_NA19650_R;1EUR_CEU_NA12878_L;1EUR_TSI_NA20509_R;1AMR_PUR_HG00731_R;0EUR_IBS_HG01505_R;1EUR_FIN_HG00171_L;1SAS_BEB_HG03009_L;1EUR_CEU_NA12329_L;1AFR_ASW_NA19983_R;1SAS_ITU_HG04217_R;1SAS_BEB_HG03009_R;1SAS_PJL_HG02492_R;1AFR_LWK_NA19434_R;1AFR_YRI_NA19238_L;1AFR_MSL_HG03486_L;1AFR_YRI_NA19238_R;1AFR_MSL_HG03486_R;0AFR_GWD_HG02587_R;1EAS_JPT_NA18939_R;0AMR_CLM_HG01114_L;0EAS_CDX_HG00864_L;0AMR_PEL_HG02106_L;0SAS_GIH_NA20847_L;0SAS_STU_HG03683_R;1EAS_CHS_HG00513_R;0AMR_PEL_HG01573_L;0AMR_PEL_HG02106_R;0EUR_TSI_NA20509_L;0SAS_STU_HG03683_L;0EAS_CDX_HG00864_R;0EAS_CHB_NA18534_L;0EAS_CHS_HG00512_R;0EAS_CHS_HG00512_L;0EUR_CEU_NA12329_R;0EAS_KHV_HG02059_R;1EUR_GBR_HG00096_L;0EAS_JPT_NA18939_L;0SAS_PJL_HG02492_L;0EAS_KHV_HG01596_L;0SAS_GIH_NA20847_R;0EAS_CHB_NA18534_R;0EAS_KHV_HG02018_L;1AMR_CLM_HG01352_R;0EAS_KHV_HG01596_R;0EAS_KHV_HG02018_R;0AMR_PUR_HG00732_R;0EUR_IBS_HG01505_L;0EAS_KHV_HG02059_L;0SAS_ITU_HG04217_L;0EAS_CHS_HG00513_L;0EUR_AKJ_NA24385_R;PanTro6	0AFR_ACB_HG02011_L;0AFR_MSL_HG03065_R;0AFR_ESN_HG03371_L;0AFR_GWD_HG02818_R;0AFR_GWD_HG02587_L;0AFR_ESN_HG03125_L;0AFR_MSL_HG03065_L;0AFR_GWD_HG02587_R;0AMR_CLM_HG01114_L;0EAS_CDX_HG00864_L;0AMR_PEL_HG02106_L;0SAS_GIH_NA20847_L;0SAS_STU_HG03683_R;1EAS_CHS_HG00513_R;0AMR_PEL_HG01573_L;0AMR_PEL_HG02106_R;0EUR_TSI_NA20509_L;0SAS_STU_HG03683_L;0EAS_CDX_HG00864_R;0EAS_CHB_NA18534_L;0EAS_CHS_HG00512_R;0EAS_CHS_HG00512_L;0EUR_CEU_NA12329_R;0EAS_KHV_HG02059_R;1EUR_GBR_HG00096_L;0EAS_JPT_NA18939_L;0SAS_PJL_HG02492_L;0EAS_KHV_HG01596_L;0SAS_GIH_NA20847_R;0AMR_PUR_HG00732_R;0EUR_IBS_HG01505_L;0EAS_KHV_HG02059_L;0SAS_ITU_HG04217_L;0EAS_CHS_HG00513_L;0EUR_AKJ_NA24385_R;0EAS_CHB_NA18534_R;0EAS_KHV_HG02018_L;1AMR_CLM_HG01352_R;0EAS_KHV_HG01596_R;0EAS_KHV_HG02018_R;1EAS_JPT_NA18939_R;1AFR_MSL_HG03486_L;1AFR_YRI_NA19238_R;1AFR_MSL_HG03486_R;1AFR_LWK_NA19434_R;1AFR_YRI_NA19238_L;0AFR_LWK_NA19036_L;1AFR_ESN_HG03371_R;1AFR_ESN_HG03125_R;1AFR_YRI_NA19239_R;1AFR_LWK_NA19434_L;1AFR_ACB_HG02011_R;1AFR_YRI_NA19239_L;1AFR_GWD_HG02818_L;1AFR_ASW_NA19983_L;1AFR_LWK_NA19036_R;0AMR_CLM_HG01352_L;1SAS_ITU_HG03732_R;1SAS_ITU_HG03732_L;0EUR_GBR_HG00096_R;1EUR_CEU_NA12878_R;1EUR_FIN_HG00171_R;1AMR_CLM_HG01114_R;1AMR_PEL_HG01573_R;1EUR_AKJ_NA24385_L;1EUR_FIN_HG00268_L;1AMR_PUR_HG00732_L;1AMR_MXL_NA19650_L;1AMR_PUR_HG00731_L;1EUR_FIN_HG00268_R;1AMR_MXL_NA19650_R;1EUR_CEU_NA12878_L;1EUR_TSI_NA20509_R;1AMR_PUR_HG00731_R;0EUR_IBS_HG01505_R;1EUR_FIN_HG00171_L;1SAS_BEB_HG03009_L;1EUR_CEU_NA12329_L;1AFR_ASW_NA19983_R;1SAS_ITU_HG04217_R;1SAS_BEB_HG03009_R;1SAS_PJL_HG02492_R;PanTro6
chr2_87987171_111255403	ENSG00000273155_ENST00000410042.1	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr8_7301024_12598379	FAM90A19_ENST00000647903.1	Usable: complete data	1	1	0	-2072.84	-2072.84	s1_def_run_2	s1_def_run_2	0.73753	0	0.26247	0	999	999	3.53892	True	True	True	True	2	0.4	2cb095a72041d491078f171d42aa423039fc6b140af38d37e97a9eef58a8964c	-2072.84	success	1	0.05	9d36cb7c99c1a08a8d91691072cb4fb015b865859cb1e1a637f97f946d80289f	-2074.43	success	3	2.5	691783d20d0405f5d5558efc69d6f829948fedd9e86202f999cd058c0a42d683	-2074.43	success	5	0.8	faa76710b08dfc551520d122940c8d9f2ec224f9f90ac1dc6f26166251c41f32	-2072.84	success	3.53892	0	999	999	0.73753	0	0.26247	2	0.4	70837f6d9691df1b158d6af1cbcc5345b05e827406951d3c2c52d39e05888245	-2072.84	success	3.53892	0	999	999	0.73751	0	0.26249	1	0.05	a9e5ae3056e552fbace198cf5bbe823903983f34c1f6dc78a489ab48cad5610b	-2072.84	success	3.53892	0	999	999	0.73753	0	0.26247	3	2.5	db44e4353d73b75fc6b238a915ce5dee83a09c5e50cc50ba6eb0e1d2b281ff8c	-2072.84	success	3.29939	0	1.01012	1.18065	0	1	0	5	0.8	14af26defa9107dc05d45e2296f5dc591ec4f94eb801d2bb58a6c3f22f4bf3b1	-2074.43	success	83	83	83	83	83	83			success	success	0AFR_ACB_HG02011_L;0AFR_MSL_HG03065_R;0AFR_ESN_HG03371_L;0AFR_GWD_HG02818_R;0AFR_GWD_HG02587_L;0AFR_ESN_HG03125_L;0AFR_MSL_HG03065_L;0AFR_LWK_NA19036_L;1AFR_ESN_HG03371_R;1AFR_ESN_HG03125_R;1AFR_YRI_NA19239_R;1AFR_LWK_NA19434_L;1AFR_ACB_HG02011_R;1AFR_YRI_NA19239_L;1AFR_GWD_HG02818_L;1AFR_ASW_NA19983_L;1AFR_LWK_NA19036_R;0AMR_CLM_HG01352_L;1SAS_ITU_HG03732_R;1SAS_ITU_HG03732_L;0EUR_GBR_HG00096_R;1EUR_CEU_NA12878_R;1EUR_FIN_HG00171_R;1AMR_CLM_HG01114_R;1AMR_PEL_HG01573_R;1EUR_AKJ_NA24385_L;1EUR_FIN_HG00268_L;1AMR_PUR_HG00732_L;1AMR_MXL_NA19650_L;1AMR_PUR_HG00731_L;1EUR_FIN_HG00268_R;1AMR_MXL_NA19650_R;1EUR_CEU_NA12878_L;1EUR_TSI_NA20509_R;1AMR_PUR_HG00731_R;0EUR_IBS_HG01505_R;1EUR_FIN_HG00171_L;1SAS_BEB_HG03009_L;1EUR_CEU_NA12329_L;1AFR_ASW_NA19983_R;1SAS_ITU_HG04217_R;1SAS_BEB_HG03009_R;1SAS_PJL_HG02492_R;1AFR_LWK_NA19434_R;1AFR_YRI_NA19238_L;1AFR_MSL_HG03486_L;1AFR_YRI_NA19238_R;1AFR_MSL_HG03486_R;0AFR_GWD_HG02587_R;1EAS_JPT_NA18939_R;0AMR_CLM_HG01114_L;0EAS_CDX_HG00864_L;0AMR_PEL_HG02106_L;0SAS_GIH_NA20847_L;0SAS_STU_HG03683_R;1EAS_CHS_HG00513_R;0AMR_PEL_HG01573_L;0AMR_PEL_HG02106_R;0EUR_TSI_NA20509_L;0SAS_STU_HG03683_L;0EAS_CDX_HG00864_R;0EAS_CHB_NA18534_L;0EAS_CHS_HG00512_R;0EAS_CHS_HG00512_L;0EUR_CEU_NA12329_R;0EAS_KHV_HG02059_R;1EUR_GBR_HG00096_L;0EAS_JPT_NA18939_L;0SAS_PJL_HG02492_L;0EAS_KHV_HG01596_L;0SAS_GIH_NA20847_R;0EAS_CHB_NA18534_R;0EAS_KHV_HG02018_L;1AMR_CLM_HG01352_R;0EAS_KHV_HG01596_R;0EAS_KHV_HG02018_R;0AMR_PUR_HG00732_R;0EUR_IBS_HG01505_L;0EAS_KHV_HG02059_L;0SAS_ITU_HG04217_L;0EAS_CHS_HG00513_L;0EUR_AKJ_NA24385_R;PanTro6	0AFR_ACB_HG02011_L;0AFR_MSL_HG03065_R;0AFR_ESN_HG03371_L;0AFR_GWD_HG02818_R;0AFR_GWD_HG02587_L;0AFR_ESN_HG03125_L;0AFR_MSL_HG03065_L;0AFR_GWD_HG02587_R;0AMR_CLM_HG01114_L;0EAS_CDX_HG00864_L;0AMR_PEL_HG02106_L;0SAS_GIH_NA20847_L;0SAS_STU_HG03683_R;1EAS_CHS_HG00513_R;0AMR_PEL_HG01573_L;0AMR_PEL_HG02106_R;0EUR_TSI_NA20509_L;0SAS_STU_HG03683_L;0EAS_CDX_HG00864_R;0EAS_CHB_NA18534_L;0EAS_CHS_HG00512_R;0EAS_CHS_HG00512_L;0EUR_CEU_NA12329_R;0EAS_KHV_HG02059_R;1EUR_GBR_HG00096_L;0EAS_JPT_NA18939_L;0SAS_PJL_HG02492_L;0EAS_KHV_HG01596_L;0SAS_GIH_NA20847_R;0AMR_PUR_HG00732_R;0EUR_IBS_HG01505_L;0EAS_KHV_HG02059_L;0SAS_ITU_HG04217_L;0EAS_CHS_HG00513_L;0EUR_AKJ_NA24385_R;0EAS_CHB_NA18534_R;0EAS_KHV_HG02018_L;1AMR_CLM_HG01352_R;0EAS_KHV_HG01596_R;0EAS_KHV_HG02018_R;1EAS_JPT_NA18939_R;1AFR_MSL_HG03486_L;1AFR_YRI_NA19238_R;1AFR_MSL_HG03486_R;1AFR_LWK_NA19434_R;1AFR_YRI_NA19238_L;0AFR_LWK_NA19036_L;1AFR_ESN_HG03371_R;1AFR_ESN_HG03125_R;1AFR_YRI_NA19239_R;1AFR_LWK_NA19434_L;1AFR_ACB_HG02011_R;1AFR_YRI_NA19239_L;1AFR_GWD_HG02818_L;1AFR_ASW_NA19983_L;1AFR_LWK_NA19036_R;0AMR_CLM_HG01352_L;1SAS_ITU_HG03732_R;1SAS_ITU_HG03732_L;0EUR_GBR_HG00096_R;1EUR_CEU_NA12878_R;1EUR_FIN_HG00171_R;1AMR_CLM_HG01114_R;1AMR_PEL_HG01573_R;1EUR_AKJ_NA24385_L;1EUR_FIN_HG00268_L;1AMR_PUR_HG00732_L;1AMR_MXL_NA19650_L;1AMR_PUR_HG00731_L;1EUR_FIN_HG00268_R;1AMR_MXL_NA19650_R;1EUR_CEU_NA12878_L;1EUR_TSI_NA20509_R;1AMR_PUR_HG00731_R;0EUR_IBS_HG01505_R;1EUR_FIN_HG00171_L;1SAS_BEB_HG03009_L;1EUR_CEU_NA12329_L;1AFR_ASW_NA19983_R;1SAS_ITU_HG04217_R;1SAS_BEB_HG03009_R;1SAS_PJL_HG02492_R;PanTro6
chr2_87987171_111255403	ZAP70_ENST00000264972.10	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr7_73113989_74799029	GTF2I_ENST00000573035.6	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr2_87987171_111255403	SLC9A2_ENST00000233969.3	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
