Phenotype	Q_GLOBAL	P_Value_x	P_Value_y	N_Total	N_Cases	N_Controls	Beta	OR	P_Valid	P_Source_x	OR_CI95	CI_Method	CI_Sided	CI_Valid	CI_LO_OR	CI_HI_OR	Used_Ridge	Final_Is_MLE	Used_Firth	Inference_Type	N_Total_Used	N_Cases_Used	N_Controls_Used	Model_Notes	Inversion	P_LRT_Overall	P_Overall_Valid	P_Source_y	P_Method	Sig_Global	CI_Valid_DISPLAY	CI_Method_DISPLAY	OR_CI95_DISPLAY	CI_LO_OR_DISPLAY	CI_HI_OR_DISPLAY
Melanocytic_nevi	8.01E-08	8.95E-11	8.95E-11	286294	29527	256767	-0.0738314751	0.9288282113	TRUE	lrt_mle	0.908,0.950	wald_mle	two	TRUE	0.9082294208	0.9498941858	FALSE	TRUE	FALSE	mle	286294	29527	256767	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	8.95E-11	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.908,0.950	0.9082294208	0.9498941858
Benign_neoplasm_of_the_skin	5.22E-06	1.17E-08	1.17E-08	303482	46715	256767	-0.05445411079	0.947001965	TRUE	lrt_mle	0.929,0.965	wald_mle	two	TRUE	0.9293980703	0.9649392983	FALSE	TRUE	FALSE	mle	303482	46715	256767	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	1.17E-08	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.929,0.965	0.9293980703	0.9649392983
Rosacea	0.0003032849934	1.02E-06	1.02E-06	240372	9911	230461	-0.09142730705	0.9126276553	TRUE	lrt_mle	0.880,0.947	wald_mle	two	TRUE	0.8795329598	0.9469676241	FALSE	TRUE	FALSE	mle	240372	9911	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	1.02E-06	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.880,0.947	0.8795329598	0.9469676241
Morbid_obesity	0.0008151386904	3.65E-06	3.65E-06	227741	35250	192491	0.05286645223	1.054288838	TRUE	lrt_mle	1.031,1.078	wald_mle	two	TRUE	1.03103028	1.078072075	FALSE	TRUE	FALSE	mle	227741	35250	192491	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	3.65E-06	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	1.031,1.078	1.03103028	1.078072075
Scar_conditions_and_fibrosis_of_skin	0.004779711481	2.67E-05	2.67E-05	241583	11122	230461	-0.07607563318	0.9267461111	TRUE	lrt_mle	0.894,0.960	wald_mle	two	TRUE	0.8942187754	0.9604566334	FALSE	TRUE	FALSE	mle	241583	11122	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	2.67E-05	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.894,0.960	0.8942187754	0.9604566334
Lump_or_mass_in_breast_or_nonspecific_abnormal_breast_exam	0.006374608487	4.28E-05	4.28E-05	299702	42935	256767	-0.04489043729	0.9561022292	TRUE	lrt_mle	0.936,0.977	wald_mle	two	TRUE	0.9357228911	0.976925414	FALSE	TRUE	FALSE	mle	299702	42935	256767	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	4.28E-05	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.936,0.977	0.9357228911	0.976925414
Abnormal_mammogram	0.007326214822	6.87E-05	6.87E-05	274932	18165	256767	-0.06306201956	0.9388852426	TRUE	lrt_mle	0.910,0.969	wald_mle	two	TRUE	0.9100674516	0.968615565	FALSE	TRUE	FALSE	mle	166372	18100	148272	sex_restricted_to_0;sex_majority_restricted_to_0;ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	6.87E-05	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.910,0.969	0.9100674516	0.968615565
Skin_changes_due_to_solar_radiation	0.007326214822	7.01E-05	7.01E-05	258418	27957	230461	-0.04765051986	0.9534669466	TRUE	lrt_mle	0.931,0.976	wald_mle	two	TRUE	0.9312744605	0.9761882848	FALSE	TRUE	FALSE	mle	258418	27957	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	7.01E-05	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.931,0.976	0.9312744605	0.9761882848
Benign_sarcoma_related_cancers	0.007326214822	7.38E-05	7.38E-05	290109	33342	256767	-0.04428204082	0.9566840955	TRUE	lrt_mle	0.936,0.978	wald_mle	two	TRUE	0.9359084865	0.9779208883	FALSE	TRUE	FALSE	mle	290109	33342	256767	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	7.38E-05	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.936,0.978	0.9359084865	0.9779208883
Diseases_of_vocal_cords_and_larynx_not_elsewhere_classified	0.008116879737	9.08E-05	9.08E-05	217079	7447	209632	-0.08868433358	0.9151344052	TRUE	lrt_mle	0.875,0.957	wald_mle	two	TRUE	0.8750785617	0.9570237647	FALSE	TRUE	FALSE	mle	217079	7447	209632	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	9.08E-05	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.875,0.957	0.8750785617	0.9570237647
