phy_filename	transcript_id	gene_name	chromosome	haplotype_group	overall_cds_start_1based	overall_cds_end_1based	spliced_cds_length	cds_segment_coords_1based
group0_HNRNPCL2_ENSG00000275774.3_ENST00000621994.3_chr1_cds_start13115522_cds_end13116400_inv_start13104252_inv_end13122521.phy.gz	ENST00000621994.3	HNRNPCL2	1	0	13115522	13116400	879	13115522-13116400
group1_HNRNPCL2_ENSG00000275774.3_ENST00000621994.3_chr1_cds_start13115522_cds_end13116400_inv_start13104252_inv_end13122521.phy.gz	ENST00000621994.3	HNRNPCL2	1	1	13115522	13116400	879	13115522-13116400
group0_PRAMEF8_ENSG00000182330.11_ENST00000357367.7_chr1_cds_start13281374_cds_end13284091_inv_start13190914_inv_end13324586.phy.gz	ENST00000357367.7	PRAMEF8	1	0	13281374	13284091	1422	13283805-13284091;13282847-13283422;13281374-13281932
group0_PRAMEF15_ENSG00000204501.7_ENST00000376152.2_chr1_cds_start13318408_cds_end13322261_inv_start13190914_inv_end13324586.phy.gz	ENST00000376152.2	PRAMEF15	1	0	13318408	13322261	1434	13318408-13318700;13319372-13319953;13321703-13322261
group0_PRAMEF33_ENSG00000237700.2_ENST00000437300.2_chr1_cds_start13305955_cds_end13308884_inv_start13190914_inv_end13324586.phy.gz	ENST00000437300.2	PRAMEF33	1	0	13305955	13308884	1422	13305955-13306241;13306638-13307216;13308329-13308884
group0_PRAMEF5_ENSG00000270601.5_ENST00000622421.3_chr1_cds_start13259269_cds_end13263108_inv_start13190914_inv_end13324586.phy.gz	ENST00000622421.3	PRAMEF5	1	0	13259269	13263108	1428	13259269-13259555;13260222-13260803;13262550-13263108
group0_PRAMEF18_ENSG00000279804.3_ENST00000624297.3_chr1_cds_start13223335_cds_end13226106_inv_start13190914_inv_end13324586.phy.gz	ENST00000624297.3	PRAMEF18	1	0	13223335	13226106	1437	13225820-13226106;13224855-13225433;13223335-13223905
group0_PRAMEF13_ENSG00000279169.3_ENST00000625019.3_chr1_cds_start13196826_cds_end13199589_inv_start13190914_inv_end13324586.phy.gz	ENST00000625019.3	PRAMEF13	1	0	13196826	13199589	1422	13199303-13199589;13198328-13198906;13196826-13197381
group0_TMEM50A_ENSG00000183726.11_ENST00000374358.5_chr1_cds_start25340487_cds_end25360702_inv_start25324280_inv_end25369060.phy.gz	ENST00000374358.5	TMEM50A	1	0	25340487	25360702	471	25340487-25340579;25342961-25343073;25351626-25351693;25352882-25352974;25356793-25356853;25360660-25360702
group1_TMEM50A_ENSG00000183726.11_ENST00000374358.5_chr1_cds_start25340487_cds_end25360702_inv_start25324280_inv_end25369060.phy.gz	ENST00000374358.5	TMEM50A	1	1	25340487	25360702	471	25340487-25340579;25342961-25343073;25351626-25351693;25352882-25352974;25356793-25356853;25360660-25360702
group0_NBPF8_ENSG00000270231.5_ENST00000698216.1_chr1_cds_start120436523_cds_end120466218_inv_start120299058_inv_end120600965.phy.gz	ENST00000698216.1	NBPF8	1	0	120436523	120466218	2826	120436523-120436697;120438544-120438646;120439476-120439690;120440742-120440814;120441278-120441489;120449193-120449402;120451180-120451282;120452117-120452331;120453372-120453444;120453909-120454114;120455409-120455460;120459367-120459530;120460573-120460624;120461254-120461426;120462146-120462197;120462794-120462966;120463676-120463727;120464376-120464548;120465263-120465371;120465978-120466218
group1_NBPF8_ENSG00000270231.5_ENST00000698216.1_chr1_cds_start120436523_cds_end120466218_inv_start120299058_inv_end120600965.phy.gz	ENST00000698216.1	NBPF8	1	1	120436523	120466218	2826	120436523-120436697;120438544-120438646;120439476-120439690;120440742-120440814;120441278-120441489;120449193-120449402;120451180-120451282;120452117-120452331;120453372-120453444;120453909-120454114;120455409-120455460;120459367-120459530;120460573-120460624;120461254-120461426;120462146-120462197;120462794-120462966;120463676-120463727;120464376-120464548;120465263-120465371;120465978-120466218
group0_PPIAL4F_ENSG00000279782.3_ENST00000581138.4_chr1_cds_start144592943_cds_end144593434_inv_start144376209_inv_end144600799.phy.gz	ENST00000581138.4	PPIAL4F	1	0	144592943	144593434	492	144592943-144593434
group0_NBPF15_ENSG00000266338.7_ENST00000581897.7_chr1_cds_start144423016_cds_end144440003_inv_start144376209_inv_end144600799.phy.gz	ENST00000581897.7	NBPF15	1	0	144423016	144440003	2010	144439829-144440003;144437945-144438047;144436895-144437109;144435781-144435853;144435111-144435316;144433773-144433824;144429700-144429863;144428606-144428657;144427818-144427990;144427047-144427098;144426278-144426450;144425517-144425568;144424690-144424862;144423870-144423975;144423016-144423256
group1_PPIAL4F_ENSG00000279782.3_ENST00000581138.4_chr1_cds_start144592943_cds_end144593434_inv_start144376209_inv_end144600799.phy.gz	ENST00000581138.4	PPIAL4F	1	1	144592943	144593434	492	144592943-144593434
group1_NBPF15_ENSG00000266338.7_ENST00000581897.7_chr1_cds_start144423016_cds_end144440003_inv_start144376209_inv_end144600799.phy.gz	ENST00000581897.7	NBPF15	1	1	144423016	144440003	2010	144439829-144440003;144437945-144438047;144436895-144437109;144435781-144435853;144435111-144435316;144433773-144433824;144429700-144429863;144428606-144428657;144427818-144427990;144427047-144427098;144426278-144426450;144425517-144425568;144424690-144424862;144423870-144423975;144423016-144423256
group0_GPR89A_ENSG00000117262.19_ENST00000313835.14_chr1_cds_start145608134_cds_end145670037_inv_start145160434_inv_end146154520.phy.gz	ENST00000313835.14	GPR89A	1	0	145608134	145670037	1365	145608134-145608175;145616234-145616293;145618320-145618423;145623054-145623160;145623613-145623714;145630687-145630807;145631664-145631744;145643869-145643978;145646184-145646272;145647175-145647267;145663329-145663424;145665562-145665651;145669625-145669690;145669834-145670037
group0_POLR3C_ENSG00000186141.10_ENST00000334163.4_chr1_cds_start145825777_cds_end145842417_inv_start145160434_inv_end146154520.phy.gz	ENST00000334163.4	POLR3C	1	0	145825777	145842417	1602	145825777-145825923;145826454-145826709;145826820-145827005;145828749-145828837;145833260-145833364;145833490-145833582;145836494-145836574;145836815-145836866;145837536-145837596;145838056-145838206;145839890-145839991;145840116-145840165;145840922-145841071;145842339-145842417
group0_NUDT17_ENSG00000186364.12_ENST00000334513.6_chr1_cds_start145845641_cds_end145848476_inv_start145160434_inv_end146154520.phy.gz	ENST00000334513.6	NUDT17	1	0	145845641	145848476	984	145845641-145845832;145846013-145846196;145846433-145846458;145846598-145846690;145847250-145847348;145847583-145847719;145848112-145848264;145848377-145848476
group0_HJV_ENSG00000168509.20_ENST00000336751.11_chr1_cds_start146018080_cds_end146020231_inv_start145160434_inv_end146154520.phy.gz	ENST00000336751.11	HJV	1	0	146018080	146020231	1278	146020135-146020231;146019175-146019734;146018080-146018700
group0_ANKRD35_ENSG00000198483.13_ENST00000355594.9_chr1_cds_start145867333_cds_end145885758_inv_start145160434_inv_end146154520.phy.gz	ENST00000355594.9	ANKRD35	1	0	145867333	145885758	3003	145885720-145885758;145879258-145879388;145878391-145878479;145877968-145878032;145876816-145876873;145876569-145876639;145876140-145876246;145874822-145875006;145874155-145874192;145871982-145873985;145868311-145868400;145867991-145868056;145867333-145867392
group0_CD160_ENSG00000117281.16_ENST00000369288.7_chr1_cds_start145728328_cds_end145738490_inv_start145160434_inv_end146154520.phy.gz	ENST00000369288.7	CD160	1	0	145728328	145738490	543	145728328-145728400;145730744-145731070;145735997-145736134;145738486-145738490
